matrix,state_idx,row,col,theta,phi,curv_mean,curv_std,energy,db_group,entropy_bits,u,v,psi,chi,rho,delta,sigma,attractor42
A,0,0,0,0.000000,0.000000,1.869251,0.474534,21.535731,44,3.267611,0.574310,0.178323,0.273675,0.114003,0.082151,0.209560,0.595238,25
A,1,0,1,0.000000,1.256637,1.869251,0.474534,21.535731,44,3.183878,0.544990,0.163663,0.231956,0.106017,0.082151,0.177615,0.428571,18
A,2,0,2,0.000000,2.513274,1.869251,0.474534,21.535731,44,3.233257,0.562280,0.172308,0.256557,0.110726,0.082151,0.196452,0.452381,19
A,3,0,3,0.000000,3.769911,1.869251,0.474534,21.535731,44,3.308255,0.588540,0.185438,0.293921,0.117879,0.082151,0.225063,0.595238,25
A,4,0,4,0.000000,5.026548,1.869251,0.474534,21.535731,44,3.349512,0.602987,0.192661,0.314476,0.121814,0.082151,0.240803,0.595238,25
A,5,1,0,0.785398,0.000000,1.869251,0.474534,19.824279,43,3.183202,0.545913,0.157597,0.232008,0.101058,0.075624,0.177359,0.428571,18
A,6,1,1,0.785398,1.256637,1.869251,0.474534,19.824279,43,3.175630,0.543243,0.156262,0.228231,0.100336,0.075624,0.174472,0.428571,18
A,7,1,2,0.785398,2.513274,1.869251,0.474534,19.824279,43,2.919352,0.452872,0.111077,0.100343,0.075895,0.075624,0.076707,0.428571,18
A,8,1,3,0.785398,3.769911,1.869251,0.474534,19.824279,43,3.017487,0.487476,0.128378,0.149311,0.085253,0.075624,0.114141,0.428571,18
A,9,1,4,0.785398,5.026548,1.869251,0.474534,19.824279,43,3.132462,0.528021,0.148651,0.206688,0.096219,0.075624,0.158003,0.428571,18
A,10,2,0,1.570796,0.000000,1.869251,0.474534,19.488073,43,3.270325,0.576904,0.171811,0.275573,0.108405,0.074342,0.210594,0.595238,25
A,11,2,1,1.570796,1.256637,1.869251,0.474534,19.488073,43,3.320321,0.594559,0.180639,0.300532,0.113173,0.074342,0.229667,0.595238,25
A,12,2,2,1.570796,2.513274,1.869251,0.474534,19.488073,43,3.301693,0.587981,0.177349,0.291232,0.111397,0.074342,0.222560,0.595238,25
A,13,2,3,1.570796,3.769911,1.869251,0.474534,19.488073,43,3.214746,0.557277,0.161998,0.247828,0.103104,0.074342,0.189391,0.428571,18
A,14,2,4,1.570796,5.026548,1.869251,0.474534,19.488073,43,3.197059,0.551031,0.158874,0.238998,0.101417,0.074342,0.182643,0.428571,18
A,15,3,0,2.356194,0.000000,1.869251,0.474534,20.755471,44,3.491653,0.423423,0.099904,0.058841,0.070637,0.079175,0.045022,0.285714,12
A,16,3,1,2.356194,1.256637,1.869251,0.474534,20.755471,44,3.536427,0.439150,0.107767,0.081162,0.074907,0.079175,0.062100,0.428571,18
A,17,3,2,2.356194,2.513274,1.869251,0.474534,20.755471,44,3.475010,0.417578,0.096981,0.050545,0.069050,0.079175,0.038674,0.285714,12
A,18,3,3,2.356194,3.769911,1.869251,0.474534,20.755471,44,3.434863,0.403474,0.089929,0.030527,0.065221,0.079175,0.023358,0.285714,12
A,19,3,4,2.356194,5.026548,1.869251,0.474534,20.755471,44,3.401531,0.391767,0.084075,0.013910,0.062042,0.079175,0.010643,0.285714,12
A,20,4,0,3.141593,0.000000,1.869251,0.474534,22.786037,45,3.594911,0.459041,0.125461,0.110105,0.086295,0.086923,0.084413,0.428571,18
A,21,4,1,3.141593,1.256637,1.869251,0.474534,22.786037,45,3.697411,0.494744,0.143312,0.161107,0.096071,0.086923,0.123514,0.428571,18
A,22,4,2,3.141593,2.513274,1.869251,0.474534,22.786037,45,3.696847,0.494545,0.143213,0.160823,0.096016,0.086923,0.123297,0.428571,18
A,23,4,3,3.141593,3.769911,1.869251,0.474534,22.786037,45,3.644916,0.476457,0.134169,0.134984,0.091064,0.086923,0.103487,0.428571,18
A,24,4,4,3.141593,5.026548,1.869251,0.474534,22.786037,45,3.552188,0.444158,0.118019,0.088843,0.082220,0.086923,0.068112,0.428571,18
A,25,5,0,3.926991,0.000000,1.869251,0.474534,24.358877,46,3.650006,0.477598,0.140736,0.137306,0.096047,0.092920,0.105428,0.428571,18
A,26,5,1,3.926991,1.256637,1.869251,0.474534,24.358877,46,3.553416,0.444175,0.124024,0.089318,0.086835,0.092920,0.068582,0.428571,18
A,27,5,2,3.926991,2.513274,1.869251,0.474534,24.358877,46,3.619003,0.466871,0.135372,0.121904,0.093091,0.092920,0.093603,0.428571,18
A,28,5,3,3.926991,3.769911,1.869251,0.474534,24.358877,46,3.663052,0.482114,0.142994,0.143789,0.097292,0.092920,0.110407,0.428571,18
A,29,5,4,3.926991,5.026548,1.869251,0.474534,24.358877,46,3.728822,0.504872,0.154373,0.176465,0.103564,0.092920,0.135496,0.428571,18
A,30,6,0,4.712389,0.000000,1.869251,0.474534,24.650656,46,3.565047,0.448118,0.127110,0.095069,0.088780,0.094034,0.073018,0.428571,18
A,31,6,1,4.712389,1.256637,1.869251,0.474534,24.650656,46,3.652859,0.478469,0.142285,0.138687,0.097155,0.094034,0.106519,0.428571,18
A,32,6,2,4.712389,2.513274,1.869251,0.474534,24.650656,46,3.493264,0.423311,0.114706,0.059417,0.081934,0.094034,0.045636,0.285714,12
A,33,6,3,4.712389,3.769911,1.869251,0.474534,24.650656,46,3.479185,0.418445,0.112273,0.052424,0.080591,0.094034,0.040265,0.285714,12
A,34,6,4,4.712389,5.026548,1.869251,0.474534,24.650656,46,3.563889,0.447717,0.126909,0.094493,0.088669,0.094034,0.072576,0.428571,18
A,35,7,0,5.497787,0.000000,1.869251,0.474534,23.521869,46,3.343183,0.598964,0.198226,0.310721,0.126892,0.089727,0.238388,0.595238,25
A,36,7,1,5.497787,1.256637,1.869251,0.474534,23.521869,46,3.439844,0.404957,0.101222,0.032921,0.073610,0.089727,0.025257,0.285714,12
A,37,7,2,5.497787,2.513274,1.869251,0.474534,23.521869,46,3.534158,0.437706,0.117597,0.079814,0.082604,0.089727,0.061234,0.428571,18
A,38,7,3,5.497787,3.769911,1.869251,0.474534,23.521869,46,3.492962,0.423403,0.110445,0.059334,0.078676,0.089727,0.045521,0.285714,12
A,39,7,4,5.497787,5.026548,1.869251,0.474534,23.521869,46,3.238856,0.562736,0.180112,0.258845,0.116942,0.089727,0.198589,0.452381,19
B,0,0,0,0.000000,0.000000,1.869251,0.474534,21.535731,44,3.267611,0.574310,0.178323,0.273675,0.114003,0.082151,0.209560,0.595238,25
B,1,0,1,0.000000,2.094395,1.869251,0.474534,21.535731,44,3.304822,0.587339,0.184837,0.292212,0.117552,0.082151,0.223754,0.595238,25
B,2,0,2,0.000000,4.188790,1.869251,0.474534,21.535731,44,3.220577,0.557840,0.170088,0.250240,0.109517,0.082151,0.191615,0.452381,19
B,3,1,0,0.897598,0.000000,1.869251,0.474534,19.674074,43,3.131541,0.527786,0.147962,0.206259,0.095702,0.075051,0.157652,0.428571,18
B,4,1,1,0.897598,2.094395,1.869251,0.474534,19.674074,43,3.046390,0.497742,0.132939,0.163762,0.087581,0.075051,0.125170,0.428571,18
B,5,1,2,0.897598,4.188790,1.869251,0.474534,19.674074,43,2.895820,0.444614,0.106375,0.088614,0.073221,0.075051,0.067731,0.428571,18
B,6,2,0,1.795196,0.000000,1.869251,0.474534,19.706648,43,3.335938,0.599876,0.184128,0.308259,0.115286,0.075174,0.235622,0.595238,25
B,7,2,1,1.795196,2.094395,1.869251,0.474534,19.706648,43,3.299288,0.586946,0.177663,0.289968,0.111790,0.075174,0.221641,0.595238,25
B,8,2,2,1.795196,4.188790,1.869251,0.474534,19.706648,43,3.343849,0.602666,0.185524,0.312206,0.116040,0.075174,0.238640,0.595238,25
B,9,3,0,2.692794,0.000000,1.869251,0.474534,21.605326,44,3.581027,0.454560,0.118715,0.103312,0.081592,0.082418,0.079114,0.428571,18
