asset_path,asset_type,author,source_url,license_spdx,permission_proof,risk_class,status,notes,last_review_date
resources/compliance/examples/authored_placeholder_01.txt,text,Project Team,internal,MIT,n/a,A,approved,authored placeholder for pipeline validation,2026-05-25
resources/compliance/examples/authored_placeholder_02.txt,text,Project Team,internal,MIT,n/a,A,approved,authored placeholder for pipeline validation,2026-05-25
app/src/main/jniLibs/arm64-v8a/libXlorie.so,binary-so,TOKEN_VAZIO,TOKEN_VAZIO,TOKEN_VAZIO,sha256=70aed270f25d08510f068dd00260911e7076d6884230c5f2d4baca758430922c,CRITICAL,blocked-sha256-known,"audit 2026-07-21: ELF64 ARM aarch64 X11/EGL-pixman Android display library; BuildID-sha1=fa8b07c20a74960492bbf454821fa0a0e7f08c5e; dynamically linked stripped; source-url+license TOKEN_VAZIO awaiting Rafael confirmation",2026-07-21
app/src/main/jniLibs/armeabi-v7a/libXlorie.so,binary-so,TOKEN_VAZIO,TOKEN_VAZIO,TOKEN_VAZIO,sha256=91fd5f2ec45712e4c317598381dee21c236dbc92d6f1657597d587ce1a137954,CRITICAL,blocked-sha256-known,"audit 2026-07-21: ELF32 ARM X11/EGL-pixman Android display library; source-url+license TOKEN_VAZIO awaiting Rafael confirmation",2026-07-21
app/src/main/jniLibs/x86/libXlorie.so,binary-so,TOKEN_VAZIO,TOKEN_VAZIO,TOKEN_VAZIO,sha256=bc2bf69dfda4aa606344a66c32c6e97dee88de956de6f754c57415048b45a6a0,CRITICAL,blocked-sha256-known,"audit 2026-07-21: ELF32 x86 X11/EGL-pixman Android display library; source-url+license TOKEN_VAZIO awaiting Rafael confirmation",2026-07-21
app/src/main/jniLibs/x86_64/libXlorie.so,binary-so,TOKEN_VAZIO,TOKEN_VAZIO,TOKEN_VAZIO,sha256=c2a051f3e1ba7d0d4b982ee6fbef98e4c476756a208cabec47de31a73d0381ac,CRITICAL,blocked-sha256-known,"audit 2026-07-21: ELF64 x86_64 X11/EGL-pixman Android display library; source-url+license TOKEN_VAZIO awaiting Rafael confirmation",2026-07-21
**/*alpine*.tar*,rootfs-tarball,TOKEN_VAZIO,TOKEN_VAZIO,TOKEN_VAZIO,TOKEN_VAZIO,CRITICAL,blocked,"glob guard only; replace with exact path/version/hash/license before release",2026-06-12
runtime:${filesDir}/firmware/RELEASEX64_OVMF.fd,firmware,TianoCore contributors,https://github.com/tianocore/edk2/releases,BSD-2-Clause-Patent,license-in-upstream-repo,MEDIUM,blocked-source-known,"EDK2 OVMF x86_64 code flash; runtime-downloaded (see qemu_rafaelia_assets.lock.yml id=ovmf-x86_64-code); sha256=TOKEN_VAZIO; pin to specific edk2 release tag",2026-07-22
runtime:${filesDir}/firmware/RELEASEX64_OVMF_VARS.fd,firmware,TianoCore contributors,https://github.com/tianocore/edk2/releases,BSD-2-Clause-Patent,license-in-upstream-repo,MEDIUM,blocked-source-known,"EDK2 OVMF x86_64 variable store template; runtime-downloaded; must match code flash version; sha256=TOKEN_VAZIO",2026-07-22
runtime:${filesDir}/firmware/QEMU_EFI.img,firmware,Linaro / TianoCore contributors,https://releases.linaro.org/components/kernel/uefi-linaro/,BSD-2-Clause-Patent,license-in-upstream-repo,MEDIUM,blocked-source-known,"AArch64 UEFI firmware for QEMU virt machine; runtime-downloaded; verify Linaro vs Debian qemu-efi-aarch64; sha256=TOKEN_VAZIO",2026-07-22
runtime:${filesDir}/firmware/QEMU_VARS.img,firmware,Linaro / TianoCore contributors,https://releases.linaro.org/components/kernel/uefi-linaro/,BSD-2-Clause-Patent,license-in-upstream-repo,MEDIUM,blocked-source-known,"AArch64 UEFI variable store template; runtime-downloaded; must match code flash version; sha256=TOKEN_VAZIO",2026-07-22
_incoming/pending/rafaelia_ttl,binary-executable,TOKEN_VAZIO,TOKEN_VAZIO,TOKEN_VAZIO,"sha256=d2878624ed8b327a4308f3d8a805859cb13ab06a39be0f1f0c4ba5a48c7384ba",CRITICAL,blocked-sha256-known,"audit 2026-07-22: ELF32 ARM binary 410520 bytes; no file extension; likely compiled from rafaelia_ttl.S; source+license TOKEN_VAZIO; NOT to be promoted to APK until provenance confirmed",2026-07-22
RAFAELMELOREIS/MIT/NAOCOMERCIAL/LICENSE.MD,documentation,Rafael Melo Reis,internal,NOASSERTION,authored,HIGH,excluded-from-release,"audit 2026-07-22: academic pre-paper v0.1 Bagua-Toroidal Matrix (414 lines); Rafael's own authorship; named LICENSE but is NOT a standard OSS license; no SPDX grant -- needs explicit open-source declaration from Rafael",2026-07-22
RAFAELMELOREIS/MIT/NAOCOMERCIAL/LICENSE_2.MD,documentation,Rafael Melo Reis,internal,NOASSERTION,authored,HIGH,excluded-from-release,"audit 2026-07-22: academic paper v0.2 Poincare-Toroidal geometry (413 lines); Rafael's own authorship; no SPDX grant",2026-07-22
RAFAELMELOREIS/MIT/NAOCOMERCIAL/TENS.MD,documentation,Rafael Melo Reis,internal,NOASSERTION,authored,HIGH,excluded-from-release,"audit 2026-07-22: academic paper v0.3 K42 modular ruler toroidal field (397 lines); Rafael's own authorship; no SPDX grant",2026-07-22
RAFAELMELOREIS/MIT/NAOCOMERCIAL/ChatGPT Image*.png,image,Rafael Melo Reis,internal,NOASSERTION,ChatGPT-ToS-attribution,HIGH,excluded-from-release,"audit 2026-07-22: ChatGPT-generated image (May 2026); attribution Rafael via OpenAI ToS; not for APK distribution",2026-07-22
addthis/,experimental-directory,Rafael Melo Reis,internal,NOASSERTION,see-docs/ADDTHIS_ASSET_PROVENANCE.md,HIGH,excluded-from-release,"audit 2026-07-22: 37 files inventoried; docs=RAFAELIA-audit; images=ChatGPT/GPT-4o-generated(22 total, 3 UUID confirmed via C2PA forensic analysis)+2 WhatsApp; not for APK distribution; see docs/ADDTHIS_ASSET_PROVENANCE.md",2026-07-22
docs/ADDTHIS_ASSET_PROVENANCE.md,documentation,Claude/AI-generated,internal,Apache-2.0,authored,A,approved,asset provenance manifest for addthis/ directory; created 2026-07-21 by gaps-audit,2026-07-21
